Questions,Answers
Who is Anthony Edward Stark?,"Anthony Edward Stark is a Visionary, Genius, Billionaire, Playboy, Philanthropist, American Patriot, Weapons Developer, Inventor, Merchant of Death, da Vinci of our times."
"In the movie Iron Man, who is War Machine?","In the movie Iron Man, War Machine is a Military Personnell."
Who is War Machine?,War Machine is a Military Personnell.
Who portrayed War Machine?,Terence Howard portrayed War Machine.
"In the movie Iron Man, who portrayed War Machine?","In the movie Iron Man, Terence Howard portrayed War Machine."
What is the formal name of War Machine?,Colonel James Rhodes is the formal name of War Machine.
"In the movie Iron Man, what is the formal name of War Machine?","In the movie Iron Man, Colonel James Rhodes is the formal name of War Machine."
"In the movie Iron Man, what are the nicknames of War Machine?","In the movie Iron Man, Honeybear, Platypus, Sourpatch are the nicknames of War Machine."
What are the nicknames of War Machine?,"Honeybear, Platypus, Sourpatch are the nicknames of War Machine."
"In the movie Iron Man, who gave the nickname to War Machine?","In the movie Iron Man, Tony gave the nickname to War Machine."
Who gave the nickname to War Machine?,Tony gave the nickname to War Machine.
"In the movie Iron Man, what are the aliases of War Machine?","In the movie Iron Man, War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of War Machine."
What are the aliases of War Machine?,"War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of War Machine."
"In the movie Iron Man, who is Colonel James Rhodes?","In the movie Iron Man, Colonel James Rhodes is a Military Personnell."
Who is Colonel James Rhodes?,Colonel James Rhodes is a Military Personnell.
"In the movie Iron Man, who is Mr. Rhodes?","In the movie Iron Man, Mr. Rhodes is a Military Personnell."
Who is Mr. Rhodes?,Mr. Rhodes is a Military Personnell.
Who portrayed Mr. Rhodes?,Terence Howard portrayed Mr. Rhodes.
"In the movie Iron Man, who portrayed Mr. Rhodes?","In the movie Iron Man, Terence Howard portrayed Mr. Rhodes."
What is the formal name of Mr. Rhodes?,Colonel James Rhodes is the formal name of Mr. Rhodes.
"In the movie Iron Man, what is the formal name of Mr. Rhodes?","In the movie Iron Man, Colonel James Rhodes is the formal name of Mr. Rhodes."
"In the movie Iron Man, what are the nicknames of Mr. Rhodes?","In the movie Iron Man, Honeybear, Platypus, Sourpatch are the nicknames of Mr. Rhodes."
What are the nicknames of Mr. Rhodes?,"Honeybear, Platypus, Sourpatch are the nicknames of Mr. Rhodes."
"In the movie Iron Man, who gave the nickname to Mr. Rhodes?","In the movie Iron Man, Tony gave the nickname to Mr. Rhodes."
Who gave the nickname to Mr. Rhodes?,Tony gave the nickname to Mr. Rhodes.
"In the movie Iron Man, what are the aliases of Mr. Rhodes?","In the movie Iron Man, War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of Mr. Rhodes."
What are the aliases of Mr. Rhodes?,"War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of Mr. Rhodes."
"In the movie Iron Man, who is Colonel James Rhodes?","In the movie Iron Man, Colonel James Rhodes is a Military Personnell."
Who is Colonel James Rhodes?,Colonel James Rhodes is a Military Personnell.
"In the movie Iron Man, who is James Rhodes?","In the movie Iron Man, James Rhodes is a Military Personnell."
Who is James Rhodes?,James Rhodes is a Military Personnell.
Who portrayed James Rhodes?,Terence Howard portrayed James Rhodes.
"In the movie Iron Man, who portrayed James Rhodes?","In the movie Iron Man, Terence Howard portrayed James Rhodes."
What is the formal name of James Rhodes?,Colonel James Rhodes is the formal name of James Rhodes.
"In the movie Iron Man, what is the formal name of James Rhodes?","In the movie Iron Man, Colonel James Rhodes is the formal name of James Rhodes."
"In the movie Iron Man, what are the nicknames of James Rhodes?","In the movie Iron Man, Honeybear, Platypus, Sourpatch are the nicknames of James Rhodes."
What are the nicknames of James Rhodes?,"Honeybear, Platypus, Sourpatch are the nicknames of James Rhodes."
"In the movie Iron Man, who gave the nickname to James Rhodes?","In the movie Iron Man, Tony gave the nickname to James Rhodes."
Who gave the nickname to James Rhodes?,Tony gave the nickname to James Rhodes.
"In the movie Iron Man, what are the aliases of James Rhodes?","In the movie Iron Man, War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of James Rhodes."
What are the aliases of James Rhodes?,"War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of James Rhodes."
"In the movie Iron Man, who is Colonel James Rhodes?","In the movie Iron Man, Colonel James Rhodes is a Military Personnell."
Who is Colonel James Rhodes?,Colonel James Rhodes is a Military Personnell.
"In the movie Iron Man, who is Colonel?","In the movie Iron Man, Colonel is a Military Personnell."
Who is Colonel?,Colonel is a Military Personnell.
Who portrayed Colonel?,Terence Howard portrayed Colonel.
"In the movie Iron Man, who portrayed Colonel?","In the movie Iron Man, Terence Howard portrayed Colonel."
What is the formal name of Colonel?,Colonel James Rhodes is the formal name of Colonel.
"In the movie Iron Man, what is the formal name of Colonel?","In the movie Iron Man, Colonel James Rhodes is the formal name of Colonel."
"In the movie Iron Man, what are the nicknames of Colonel?","In the movie Iron Man, Honeybear, Platypus, Sourpatch are the nicknames of Colonel."
What are the nicknames of Colonel?,"Honeybear, Platypus, Sourpatch are the nicknames of Colonel."
"In the movie Iron Man, who gave the nickname to Colonel?","In the movie Iron Man, Tony gave the nickname to Colonel."
Who gave the nickname to Colonel?,Tony gave the nickname to Colonel.
"In the movie Iron Man, what are the aliases of Colonel?","In the movie Iron Man, War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of Colonel."
What are the aliases of Colonel?,"War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of Colonel."
"In the movie Iron Man, who is Colonel James Rhodes?","In the movie Iron Man, Colonel James Rhodes is a Military Personnell."
Who is Colonel James Rhodes?,Colonel James Rhodes is a Military Personnell.
"In the movie Iron Man, who is Rhodey?","In the movie Iron Man, Rhodey is a Military Personnell."
Who is Rhodey?,Rhodey is a Military Personnell.
Who portrayed Rhodey?,Terence Howard portrayed Rhodey.
"In the movie Iron Man, who portrayed Rhodey?","In the movie Iron Man, Terence Howard portrayed Rhodey."
What is the formal name of Rhodey?,Colonel James Rhodes is the formal name of Rhodey.
"In the movie Iron Man, what is the formal name of Rhodey?","In the movie Iron Man, Colonel James Rhodes is the formal name of Rhodey."
"In the movie Iron Man, what are the nicknames of Rhodey?","In the movie Iron Man, Honeybear, Platypus, Sourpatch are the nicknames of Rhodey."
What are the nicknames of Rhodey?,"Honeybear, Platypus, Sourpatch are the nicknames of Rhodey."
"In the movie Iron Man, who gave the nickname to Rhodey?","In the movie Iron Man, Tony gave the nickname to Rhodey."
Who gave the nickname to Rhodey?,Tony gave the nickname to Rhodey.
"In the movie Iron Man, what are the aliases of Rhodey?","In the movie Iron Man, War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of Rhodey."
What are the aliases of Rhodey?,"War Machine, Mr. Rhodes, James Rhodes, Colonel are the aliases of Rhodey."
"In the movie Iron Man, who is Colonel James Rhodes?","In the movie Iron Man, Colonel James Rhodes is a Military Personnell."
Who is Colonel James Rhodes?,Colonel James Rhodes is a Military Personnell.
"In the movie Iron Man, who is Everhart?","In the movie Iron Man, Everhart is a reporter."
Who is Everhart?,Everhart is a reporter.
Who portrayed Everhart?,Leslie Bibb portrayed Everhart.
"In the movie Iron Man, who portrayed Everhart?","In the movie Iron Man, Leslie Bibb portrayed Everhart."
What is the formal name of Everhart?,Christine Everhart is the formal name of Everhart.
"In the movie Iron Man, what is the formal name of Everhart?","In the movie Iron Man, Christine Everhart is the formal name of Everhart."
"In the movie Iron Man, what is the nickname of Everhart?","In the movie Iron Man, Ms. Brown is the nickname of Everhart."
What is the nickname of Everhart?,Ms. Brown is the nickname of Everhart.
"In the movie Iron Man, who gave the nickname to Everhart?","In the movie Iron Man, Tony gave the nickname to Everhart."
Who gave the nickname to Everhart?,Tony gave the nickname to Everhart.
"In the movie Iron Man, who is Christine Everhart?","In the movie Iron Man, Christine Everhart is a reporter."
Who is Christine Everhart?,Christine Everhart is a reporter.
"In the movie Iron Man, who is Howard?","In the movie Iron Man, Howard is a Legendary Weapons developer, Inventor."
Who is Howard?,"Howard is a Legendary Weapons developer, Inventor."
Who portrayed Howard?,Gerard Sanders portrayed Howard.
"In the movie Iron Man, who portrayed Howard?","In the movie Iron Man, Gerard Sanders portrayed Howard."
What is the formal name of Howard?,Howard Stark is the formal name of Howard.
"In the movie Iron Man, what is the formal name of Howard?","In the movie Iron Man, Howard Stark is the formal name of Howard."
"In the movie Iron Man, who is Howard Stark?","In the movie Iron Man, Howard Stark is a Legendary Weapons developer, Inventor."
Who is Howard Stark?,"Howard Stark is a Legendary Weapons developer, Inventor."
"In the movie Iron Man, who is Jarvis?","In the movie Iron Man, Jarvis is a Artificial Intelligence, Digital Assistant."
Who is Jarvis?,"Jarvis is a Artificial Intelligence, Digital Assistant."
Who portrayed Jarvis?,Paul Bettany portrayed Jarvis.
"In the movie Iron Man, who portrayed Jarvis?","In the movie Iron Man, Paul Bettany portrayed Jarvis."
What is the formal name of Jarvis?,Just A Rather Very Intelligent System is the formal name of Jarvis.
"In the movie Iron Man, what is the formal name of Jarvis?","In the movie Iron Man, Just A Rather Very Intelligent System is the formal name of Jarvis."
"In the movie Iron Man, who is Just A Rather Very Intelligent System?","In the movie Iron Man, Just A Rather Very Intelligent System is a Artificial Intelligence, Digital Assistant."
Who is Just A Rather Very Intelligent System?,"Just A Rather Very Intelligent System is a Artificial Intelligence, Digital Assistant."
"In the movie Iron Man, who are Terrorists?","In the movie Iron Man, Terrorists are a Terrorist group."
Who are Terrorists?,Terrorists are a Terrorist group.
What is the formal name of Terrorists?,Ten Rings is the formal name of Terrorists.
"In the movie Iron Man, what is the formal name of Terrorists?","In the movie Iron Man, Ten Rings is the formal name of Terrorists."
"In the movie Iron Man, who are Ten Rings?","In the movie Iron Man, Ten Rings are a Terrorist group."
Who are Ten Rings?,Ten Rings are a Terrorist group.
"In the movie Iron Man, who is Phil?","In the movie Iron Man, Phil is a SHIELD Agent."
Who is Phil?,Phil is a SHIELD Agent.
Who portrayed Phil?,Clark Gregg portrayed Phil.
"In the movie Iron Man, who portrayed Phil?","In the movie Iron Man, Clark Gregg portrayed Phil."
What is the formal name of Phil?,Phillip J Coulson is the formal name of Phil.
"In the movie Iron Man, what is the formal name of Phil?","In the movie Iron Man, Phillip J Coulson is the formal name of Phil."
"In the movie Iron Man, what are the aliases of Phil?","In the movie Iron Man, Phil, Agent Coulson, Phil Coulson are the aliases of Phil."
What are the aliases of Phil?,"Phil, Agent Coulson, Phil Coulson are the aliases of Phil."
"In the movie Iron Man, who is Phillip J Coulson?","In the movie Iron Man, Phillip J Coulson is a SHIELD Agent."
Who is Phillip J Coulson?,Phillip J Coulson is a SHIELD Agent.
"In the movie Iron Man, who is Agent Coulson?","In the movie Iron Man, Agent Coulson is a SHIELD Agent."
Who is Agent Coulson?,Agent Coulson is a SHIELD Agent.
Who portrayed Agent Coulson?,Clark Gregg portrayed Agent Coulson.
"In the movie Iron Man, who portrayed Agent Coulson?","In the movie Iron Man, Clark Gregg portrayed Agent Coulson."
What is the formal name of Agent Coulson?,Phillip J Coulson is the formal name of Agent Coulson.
"In the movie Iron Man, what is the formal name of Agent Coulson?","In the movie Iron Man, Phillip J Coulson is the formal name of Agent Coulson."
"In the movie Iron Man, what are the aliases of Agent Coulson?","In the movie Iron Man, Phil, Agent Coulson, Phil Coulson are the aliases of Agent Coulson."
What are the aliases of Agent Coulson?,"Phil, Agent Coulson, Phil Coulson are the aliases of Agent Coulson."
"In the movie Iron Man, who is Phillip J Coulson?","In the movie Iron Man, Phillip J Coulson is a SHIELD Agent."
Who is Phillip J Coulson?,Phillip J Coulson is a SHIELD Agent.
"In the movie Iron Man, who is Phil Coulson?","In the movie Iron Man, Phil Coulson is a SHIELD Agent."
Who is Phil Coulson?,Phil Coulson is a SHIELD Agent.
Who portrayed Phil Coulson?,Clark Gregg portrayed Phil Coulson.
"In the movie Iron Man, who portrayed Phil Coulson?","In the movie Iron Man, Clark Gregg portrayed Phil Coulson."
What is the formal name of Phil Coulson?,Phillip J Coulson is the formal name of Phil Coulson.
"In the movie Iron Man, what is the formal name of Phil Coulson?","In the movie Iron Man, Phillip J Coulson is the formal name of Phil Coulson."
"In the movie Iron Man, what are the aliases of Phil Coulson?","In the movie Iron Man, Phil, Agent Coulson, Phil Coulson are the aliases of Phil Coulson."
What are the aliases of Phil Coulson?,"Phil, Agent Coulson, Phil Coulson are the aliases of Phil Coulson."
"In the movie Iron Man, who is Phillip J Coulson?","In the movie Iron Man, Phillip J Coulson is a SHIELD Agent."
Who is Phillip J Coulson?,Phillip J Coulson is a SHIELD Agent.
"In the movie Iron Man, who is Coulson?","In the movie Iron Man, Coulson is a SHIELD Agent."
Who is Coulson?,Coulson is a SHIELD Agent.
Who portrayed Coulson?,Clark Gregg portrayed Coulson.
"In the movie Iron Man, who portrayed Coulson?","In the movie Iron Man, Clark Gregg portrayed Coulson."
What is the formal name of Coulson?,Phillip J Coulson is the formal name of Coulson.
"In the movie Iron Man, what is the formal name of Coulson?","In the movie Iron Man, Phillip J Coulson is the formal name of Coulson."
"In the movie Iron Man, what are the aliases of Coulson?","In the movie Iron Man, Phil, Agent Coulson, Phil Coulson are the aliases of Coulson."
What are the aliases of Coulson?,"Phil, Agent Coulson, Phil Coulson are the aliases of Coulson."
"In the movie Iron Man, who is Phillip J Coulson?","In the movie Iron Man, Phillip J Coulson is a SHIELD Agent."
Who is Phillip J Coulson?,Phillip J Coulson is a SHIELD Agent.
"In the movie Iron Man, who is Hogan?","In the movie Iron Man, Hogan is a Principal Security Advisor to Tony Stark."
Who is Hogan?,Hogan is a Principal Security Advisor to Tony Stark.
Who portrayed Hogan?,Jon Favreau portrayed Hogan.
"In the movie Iron Man, who portrayed Hogan?","In the movie Iron Man, Jon Favreau portrayed Hogan."
What is the formal name of Hogan?,Harold Hogan is the formal name of Hogan.
"In the movie Iron Man, what is the formal name of Hogan?","In the movie Iron Man, Harold Hogan is the formal name of Hogan."
"In the movie Iron Man, what are the aliases of Hogan?","In the movie Iron Man, Hogan, Happy Hogan are the aliases of Hogan."
What are the aliases of Hogan?,"Hogan, Happy Hogan are the aliases of Hogan."
"In the movie Iron Man, who is Harold Hogan?","In the movie Iron Man, Harold Hogan is a Principal Security Advisor to Tony Stark."
Who is Harold Hogan?,Harold Hogan is a Principal Security Advisor to Tony Stark.
"In the movie Iron Man, who is Happy Hogan?","In the movie Iron Man, Happy Hogan is a Principal Security Advisor to Tony Stark."
Who is Happy Hogan?,Happy Hogan is a Principal Security Advisor to Tony Stark.
Who portrayed Happy Hogan?,Jon Favreau portrayed Happy Hogan.
"In the movie Iron Man, who portrayed Happy Hogan?","In the movie Iron Man, Jon Favreau portrayed Happy Hogan."
What is the formal name of Happy Hogan?,Harold Hogan is the formal name of Happy Hogan.
"In the movie Iron Man, what is the formal name of Happy Hogan?","In the movie Iron Man, Harold Hogan is the formal name of Happy Hogan."
"In the movie Iron Man, what are the aliases of Happy Hogan?","In the movie Iron Man, Hogan, Happy Hogan are the aliases of Happy Hogan."
What are the aliases of Happy Hogan?,"Hogan, Happy Hogan are the aliases of Happy Hogan."
"In the movie Iron Man, who is Harold Hogan?","In the movie Iron Man, Harold Hogan is a Principal Security Advisor to Tony Stark."
Who is Harold Hogan?,Harold Hogan is a Principal Security Advisor to Tony Stark.
"In the movie Iron Man, who is Happy?","In the movie Iron Man, Happy is a Principal Security Advisor to Tony Stark."
Who is Happy?,Happy is a Principal Security Advisor to Tony Stark.
Who portrayed Happy?,Jon Favreau portrayed Happy.
"In the movie Iron Man, who portrayed Happy?","In the movie Iron Man, Jon Favreau portrayed Happy."
What is the formal name of Happy?,Harold Hogan is the formal name of Happy.
"In the movie Iron Man, what is the formal name of Happy?","In the movie Iron Man, Harold Hogan is the formal name of Happy."
"In the movie Iron Man, what are the aliases of Happy?","In the movie Iron Man, Hogan, Happy Hogan are the aliases of Happy."
What are the aliases of Happy?,"Hogan, Happy Hogan are the aliases of Happy."
"In the movie Iron Man, who is Harold Hogan?","In the movie Iron Man, Harold Hogan is a Principal Security Advisor to Tony Stark."
Who is Harold Hogan?,Harold Hogan is a Principal Security Advisor to Tony Stark.
"In the movie Iron Man, who are S.H.I.E.L.D.?","In the movie Iron Man, S.H.I.E.L.D. are a separate division with a more specific focus."
Who are S.H.I.E.L.D.?,S.H.I.E.L.D. are a separate division with a more specific focus.
What is the formal name of S.H.I.E.L.D.?,Strategic Homeland Intervention Enforcement and Logistics Division is the formal name of S.H.I.E.L.D..
"In the movie Iron Man, what is the formal name of S.H.I.E.L.D.?","In the movie Iron Man, Strategic Homeland Intervention Enforcement and Logistics Division is the formal name of S.H.I.E.L.D.."
"In the movie Iron Man, what is the alias of S.H.I.E.L.D.?","In the movie Iron Man, S.H.I.E.L.D. is the alias of S.H.I.E.L.D.."
What is the alias of S.H.I.E.L.D.?,S.H.I.E.L.D. is the alias of S.H.I.E.L.D..
"In the movie Iron Man, who are Strategic Homeland Intervention Enforcement and Logistics Division?","In the movie Iron Man, Strategic Homeland Intervention Enforcement and Logistics Division are a separate division with a more specific focus."
Who are Strategic Homeland Intervention Enforcement and Logistics Division?,Strategic Homeland Intervention Enforcement and Logistics Division are a separate division with a more specific focus.
"In the movie Iron Man, who are SHIELD?","In the movie Iron Man, SHIELD are a separate division with a more specific focus."
Who are SHIELD?,SHIELD are a separate division with a more specific focus.
What is the formal name of SHIELD?,Strategic Homeland Intervention Enforcement and Logistics Division is the formal name of SHIELD.
"In the movie Iron Man, what is the formal name of SHIELD?","In the movie Iron Man, Strategic Homeland Intervention Enforcement and Logistics Division is the formal name of SHIELD."
"In the movie Iron Man, what is the alias of SHIELD?","In the movie Iron Man, S.H.I.E.L.D. is the alias of SHIELD."
What is the alias of SHIELD?,S.H.I.E.L.D. is the alias of SHIELD.
"In the movie Iron Man, who are Strategic Homeland Intervention Enforcement and Logistics Division?","In the movie Iron Man, Strategic Homeland Intervention Enforcement and Logistics Division are a separate division with a more specific focus."
Who are Strategic Homeland Intervention Enforcement and Logistics Division?,Strategic Homeland Intervention Enforcement and Logistics Division are a separate division with a more specific focus.
"In the movie Iron Man, who is Dummy?","In the movie Iron Man, Dummy is a robotic assistant."
Who is Dummy?,Dummy is a robotic assistant.
What is the formal name of Dummy?,Dum-E is the formal name of Dummy.
"In the movie Iron Man, what is the formal name of Dummy?","In the movie Iron Man, Dum-E is the formal name of Dummy."
"In the movie Iron Man, who is Dum-E?","In the movie Iron Man, Dum-E is a robotic assistant."
Who is Dum-E?,Dum-E is a robotic assistant.
"In the movie Iron Man, who is Iron Monger?","In the movie Iron Man, Iron Monger is a antagonist of Iron Man."
Who is Iron Monger?,Iron Monger is a antagonist of Iron Man.
Who portrayed Iron Monger?,Jeff Bridges portrayed Iron Monger.
"In the movie Iron Man, who portrayed Iron Monger?","In the movie Iron Man, Jeff Bridges portrayed Iron Monger."
What is the formal name of Iron Monger?,Obadiah Stane is the formal name of Iron Monger.
"In the movie Iron Man, what is the formal name of Iron Monger?","In the movie Iron Man, Obadiah Stane is the formal name of Iron Monger."
"In the movie Iron Man, what are the aliases of Iron Monger?","In the movie Iron Man, Iron Monger, Stane are the aliases of Iron Monger."
What are the aliases of Iron Monger?,"Iron Monger, Stane are the aliases of Iron Monger."
"In the movie Iron Man, who is Obadiah Stane?","In the movie Iron Man, Obadiah Stane is a antagonist of Iron Man."
Who is Obadiah Stane?,Obadiah Stane is a antagonist of Iron Man.
"In the movie Iron Man, who is Stane?","In the movie Iron Man, Stane is a antagonist of Iron Man."
Who is Stane?,Stane is a antagonist of Iron Man.
Who portrayed Stane?,Jeff Bridges portrayed Stane.
"In the movie Iron Man, who portrayed Stane?","In the movie Iron Man, Jeff Bridges portrayed Stane."
What is the formal name of Stane?,Obadiah Stane is the formal name of Stane.
"In the movie Iron Man, what is the formal name of Stane?","In the movie Iron Man, Obadiah Stane is the formal name of Stane."
"In the movie Iron Man, what are the aliases of Stane?","In the movie Iron Man, Iron Monger, Stane are the aliases of Stane."
What are the aliases of Stane?,"Iron Monger, Stane are the aliases of Stane."
"In the movie Iron Man, who is Obadiah Stane?","In the movie Iron Man, Obadiah Stane is a antagonist of Iron Man."
Who is Obadiah Stane?,Obadiah Stane is a antagonist of Iron Man.
"In the movie Iron Man, who is Obadiah?","In the movie Iron Man, Obadiah is a antagonist of Iron Man."
Who is Obadiah?,Obadiah is a antagonist of Iron Man.
Who portrayed Obadiah?,Jeff Bridges portrayed Obadiah.
"In the movie Iron Man, who portrayed Obadiah?","In the movie Iron Man, Jeff Bridges portrayed Obadiah."
What is the formal name of Obadiah?,Obadiah Stane is the formal name of Obadiah.
"In the movie Iron Man, what is the formal name of Obadiah?","In the movie Iron Man, Obadiah Stane is the formal name of Obadiah."
"In the movie Iron Man, what are the aliases of Obadiah?","In the movie Iron Man, Iron Monger, Stane are the aliases of Obadiah."
What are the aliases of Obadiah?,"Iron Monger, Stane are the aliases of Obadiah."
"In the movie Iron Man, who is Obadiah Stane?","In the movie Iron Man, Obadiah Stane is a antagonist of Iron Man."
Who is Obadiah Stane?,Obadiah Stane is a antagonist of Iron Man.
"In the movie Iron Man, who is Yinsen?","In the movie Iron Man, Yinsen is a scientist, surgeon, doctor."
Who is Yinsen?,"Yinsen is a scientist, surgeon, doctor."
Who portrayed Yinsen?,Shaun Tubb portrayed Yinsen.
"In the movie Iron Man, who portrayed Yinsen?","In the movie Iron Man, Shaun Tubb portrayed Yinsen."
What is the formal name of Yinsen?,Ho Yinsen is the formal name of Yinsen.
"In the movie Iron Man, what is the formal name of Yinsen?","In the movie Iron Man, Ho Yinsen is the formal name of Yinsen."
"In the movie Iron Man, who is Ho Yinsen?","In the movie Iron Man, Ho Yinsen is a scientist, surgeon, doctor."
Who is Ho Yinsen?,"Ho Yinsen is a scientist, surgeon, doctor."
"In the movie Iron Man, what soundtrack plays in the Motorcade Ambush scene?","In the movie Iron Man, Back in Black by AC/DC soundtrack plays in the Motorcade Ambush scene."
What soundtrack plays in the Motorcade Ambush scene?,Back in Black by AC/DC soundtrack plays in the Motorcade Ambush scene.
"In the movie Iron Man, what soundtrack plays in the Stark Industries Private Jet scene?","In the movie Iron Man, Slept on Tony with Dirt by Ghostface Killah soundtrack plays in the Stark Industries Private Jet scene."
What soundtrack plays in the Stark Industries Private Jet scene?,Slept on Tony with Dirt by Ghostface Killah soundtrack plays in the Stark Industries Private Jet scene.
"In the movie Iron Man, where does the Motorcade Ambush happen?","In the movie Iron Man, Motorcade Ambush happens at Kunar Province, Afghanistan."
where does the Motorcade Ambush happen?,"Motorcade Ambush happens at Kunar Province, Afghanistan."
"In the movie Iron Man, where does the Apogee Award Presentation happen?","In the movie Iron Man, Apogee Award Presentation happens at Caesar's Palace, Las Vegas."
where does the Apogee Award Presentation happen?,"Apogee Award Presentation happens at Caesar's Palace, Las Vegas."
"In the movie Iron Man, where does the Weapons Presentation happen?","In the movie Iron Man, Weapons Presentation happens at Bagram Air Base, Afghanistan."
where does the Weapons Presentation happen?,"Weapons Presentation happens at Bagram Air Base, Afghanistan."
"In the movie Iron Man, where is the Malibu Workshop located?","In the movie Iron Man, Malibu Workshop is located in Malibu Point, California."
where is the Malibu Workshop located?,"Malibu Workshop is located in Malibu Point, California."
"In the movie Iron Man, where is the Malibu Living Room located?","In the movie Iron Man, Malibu Living Room is located in Malibu Point, California."
where is the Malibu Living Room located?,"Malibu Living Room is located in Malibu Point, California."
"In the movie Iron Man, where is the Cave located?","In the movie Iron Man, Cave is located in Kunar Province, Afghanistan."
where is the Cave located?,"Cave is located in Kunar Province, Afghanistan."
"In the movie Iron Man, where is the Desert located?","In the movie Iron Man, Desert is located in Kunar Province, Afghanistan."
where is the Desert located?,"Desert is located in Kunar Province, Afghanistan."
"In the movie Iron Man, where is the Airport located?","In the movie Iron Man, Airport is located in California."
where is the Airport located?,Airport is located in California.
"In the movie Iron Man, where does the Press Conference happen?","In the movie Iron Man, Press Conference happens at California."
where does the Press Conference happen?,Press Conference happens at California.
"In the movie Iron Man, where is the Arc Reactor Lab located?","In the movie Iron Man, Arc Reactor Lab is located in California."
where is the Arc Reactor Lab located?,Arc Reactor Lab is located in California.
"In the movie Iron Man, where is the Malibu located?","In the movie Iron Man, Malibu is located in California."
where is the Malibu located?,Malibu is located in California.
"In the movie Iron Man, where does the FireFighters Family Fund Party happen?","In the movie Iron Man, FireFighters Family Fund Party happens at California."
where does the FireFighters Family Fund Party happen?,FireFighters Family Fund Party happens at California.
"In the movie Iron Man, where is the Air Force Control Room located?","In the movie Iron Man, Air Force Control Room is located in USA."
where is the Air Force Control Room located?,Air Force Control Room is located in USA.
"In the movie Iron Man, where is the Stark Industries Sector 16 located?","In the movie Iron Man, Stark Industries Sector 16 is located in California."
where is the Stark Industries Sector 16 located?,Stark Industries Sector 16 is located in California.
"In the movie Iron Man, where does the Air Force Press Conference happen?","In the movie Iron Man, Air Force Press Conference happens at California."
where does the Air Force Press Conference happen?,Air Force Press Conference happens at California.
"In the movie Iron Man, in the Motorcade Ambush scene, what did Iron Man say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the Motorcade Ambush scene, what did Iron Man say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the movie Iron Man, in the Motorcade Ambush scene, what did Mr. Stark say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the Motorcade Ambush scene, what did Mr. Stark say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the movie Iron Man, in the Motorcade Ambush scene, what did Tony Stark say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the Motorcade Ambush scene, what did Tony Stark say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the movie Iron Man, in the Motorcade Ambush scene, what did Tony say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the Motorcade Ambush scene, what did Tony say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the movie Iron Man, in the Motorcade Ambush scene, what did Anthony Edward Stark say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the Motorcade Ambush scene, what did Anthony Edward Stark say to Forrest about fun-vee being silent?",It feels like you are driving me to a court-martial.
"In the movie Iron Man, in the Motorcade Ambush scene, what did Iron Man say to Forrest about going 12 for 12 with Maxim models?","Yes and No. Unfortunately, March and I had a scheduling conflict but fortunately Christmas cover was twins."
"In the Motorcade Ambush scene, what did Iron Man say to Forrest about going 12 for 12 with Maxim models?","Yes and No. Unfortunately, March and I had a scheduling conflict but fortunately Christmas cover was twins."
"In the movie Iron Man, in the Motorcade Ambush scene, what did Mr. Stark say to Forrest about going 12 for 12 with Maxim models?","Yes and No. Unfortunately, March and I had a scheduling conflict but fortunately Christmas cover was twins."
"In the Motorcade Ambush scene, what did Mr. Stark say to Forrest about going 12 for 12 with Maxim models?","Yes and No. Unfortunately, March and I had a scheduling conflict but fortunately Christmas cover was twins."
"In the movie Iron Man, in the Motorcade Ambush scene, what did Tony Stark say to Forrest about going 12 for 12 with Maxim models?","Yes and No. Unfortunately, March and I had a scheduling conflict but fortunately Christmas cover was twins."
"In the Motorcade Ambush scene, what did Tony Stark say to Forrest about going 12 for 12 with Maxim models?","Yes and No. Unfortunately, March and I had a scheduling conflict but fortunately Christmas cover was twins."
"In the movie Iron Man, in the Motorcade Ambush scene, what did Tony say to Forrest about going 12 for 12 with Maxim models?","Yes and No. Unfortunately, March and I had a scheduling conflict but fortunately Christmas cover was twins."
"In the Motorcade Ambush scene, what did Tony say to Forrest about going 12 for 12 with Maxim models?","Yes and No. Unfortunately, March and I had a scheduling conflict but fortunately Christmas cover was twins."
