Questions,Answers
What is the formal name of Steve?,Steven Rogers is the formal name of Steve.
"In the movie Captain America First Avenger, what is the formal name of Steve?","In the movie Captain America First Avenger, Steven Rogers is the formal name of Steve."
"In the movie Captain America First Avenger, what are the nicknames of Steve?","In the movie Captain America First Avenger, Capsicle, Cap are the nicknames of Steve."
What are the nicknames of Steve?,"Capsicle, Cap are the nicknames of Steve."
"In the movie Captain America First Avenger, who gave the nickname to Steve?","In the movie Captain America First Avenger, Tony gave the nickname to Steve."
Who gave the nickname to Steve?,Tony gave the nickname to Steve.
"In the movie Captain America First Avenger, what are the aliases of Steve?","In the movie Captain America First Avenger, Captain America, Steve, Rogers are the aliases of Steve."
What are the aliases of Steve?,"Captain America, Steve, Rogers are the aliases of Steve."
"In the movie Captain America First Avenger, who is Steven Rogers?","In the movie Captain America First Avenger, Steven Rogers is a World War 2 veteran, super soldier."
Who is Steven Rogers?,"Steven Rogers is a World War 2 veteran, super soldier."
"In the movie Captain America First Avenger, who is Rogers?","In the movie Captain America First Avenger, Rogers is a World War 2 veteran, super soldier."
Who is Rogers?,"Rogers is a World War 2 veteran, super soldier."
Who portrayed Rogers?,Chris Evans portrayed Rogers.
"In the movie Captain America First Avenger, who portrayed Rogers?","In the movie Captain America First Avenger, Chris Evans portrayed Rogers."
What is the formal name of Rogers?,Steven Rogers is the formal name of Rogers.
"In the movie Captain America First Avenger, what is the formal name of Rogers?","In the movie Captain America First Avenger, Steven Rogers is the formal name of Rogers."
"In the movie Captain America First Avenger, what are the nicknames of Rogers?","In the movie Captain America First Avenger, Capsicle, Cap are the nicknames of Rogers."
What are the nicknames of Rogers?,"Capsicle, Cap are the nicknames of Rogers."
"In the movie Captain America First Avenger, who gave the nickname to Rogers?","In the movie Captain America First Avenger, Tony gave the nickname to Rogers."
Who gave the nickname to Rogers?,Tony gave the nickname to Rogers.
"In the movie Captain America First Avenger, what are the aliases of Rogers?","In the movie Captain America First Avenger, Captain America, Steve, Rogers are the aliases of Rogers."
What are the aliases of Rogers?,"Captain America, Steve, Rogers are the aliases of Rogers."
"In the movie Captain America First Avenger, who is Steven Rogers?","In the movie Captain America First Avenger, Steven Rogers is a World War 2 veteran, super soldier."
Who is Steven Rogers?,"Steven Rogers is a World War 2 veteran, super soldier."
"In the movie Captain America First Avenger, who is Steve?","In the movie Captain America First Avenger, Steve is a World War 2 veteran, super soldier."
Who is Steve?,"Steve is a World War 2 veteran, super soldier."
Who portrayed Steve?,Chris Evans portrayed Steve.
"In the movie Captain America First Avenger, who portrayed Steve?","In the movie Captain America First Avenger, Chris Evans portrayed Steve."
What is the formal name of Steve?,Steven Rogers is the formal name of Steve.
"In the movie Captain America First Avenger, what is the formal name of Steve?","In the movie Captain America First Avenger, Steven Rogers is the formal name of Steve."
"In the movie Captain America First Avenger, what are the nicknames of Steve?","In the movie Captain America First Avenger, Capsicle, Cap are the nicknames of Steve."
What are the nicknames of Steve?,"Capsicle, Cap are the nicknames of Steve."
"In the movie Captain America First Avenger, who gave the nickname to Steve?","In the movie Captain America First Avenger, Tony gave the nickname to Steve."
Who gave the nickname to Steve?,Tony gave the nickname to Steve.
"In the movie Captain America First Avenger, what are the aliases of Steve?","In the movie Captain America First Avenger, Captain America, Steve, Rogers are the aliases of Steve."
What are the aliases of Steve?,"Captain America, Steve, Rogers are the aliases of Steve."
"In the movie Captain America First Avenger, who is Steven Rogers?","In the movie Captain America First Avenger, Steven Rogers is a World War 2 veteran, super soldier."
Who is Steven Rogers?,"Steven Rogers is a World War 2 veteran, super soldier."
"In the movie Captain America First Avenger, who is Red Skull?","In the movie Captain America First Avenger, Red Skull is a antagonist of Captain America, nazi super soldier, head of Hydra."
Who is Red Skull?,"Red Skull is a antagonist of Captain America, nazi super soldier, head of Hydra."
Who portrayed Red Skull?,Hugo Weaving portrayed Red Skull.
"In the movie Captain America First Avenger, who portrayed Red Skull?","In the movie Captain America First Avenger, Hugo Weaving portrayed Red Skull."
What is the formal name of Red Skull?,Johann Schmidt is the formal name of Red Skull.
"In the movie Captain America First Avenger, what is the formal name of Red Skull?","In the movie Captain America First Avenger, Johann Schmidt is the formal name of Red Skull."
"In the movie Captain America First Avenger, what is the alias of Red Skull?","In the movie Captain America First Avenger, Red Skull is the alias of Red Skull."
What is the alias of Red Skull?,Red Skull is the alias of Red Skull.
"In the movie Captain America First Avenger, who is Johann Schmidt?","In the movie Captain America First Avenger, Johann Schmidt is a antagonist of Captain America, nazi super soldier, head of Hydra."
Who is Johann Schmidt?,"Johann Schmidt is a antagonist of Captain America, nazi super soldier, head of Hydra."
"In the movie Captain America First Avenger, who is Schmidt?","In the movie Captain America First Avenger, Schmidt is a antagonist of Captain America, nazi super soldier, head of Hydra."
Who is Schmidt?,"Schmidt is a antagonist of Captain America, nazi super soldier, head of Hydra."
Who portrayed Schmidt?,Hugo Weaving portrayed Schmidt.
"In the movie Captain America First Avenger, who portrayed Schmidt?","In the movie Captain America First Avenger, Hugo Weaving portrayed Schmidt."
What is the formal name of Schmidt?,Johann Schmidt is the formal name of Schmidt.
"In the movie Captain America First Avenger, what is the formal name of Schmidt?","In the movie Captain America First Avenger, Johann Schmidt is the formal name of Schmidt."
"In the movie Captain America First Avenger, what is the alias of Schmidt?","In the movie Captain America First Avenger, Red Skull is the alias of Schmidt."
What is the alias of Schmidt?,Red Skull is the alias of Schmidt.
"In the movie Captain America First Avenger, who is Johann Schmidt?","In the movie Captain America First Avenger, Johann Schmidt is a antagonist of Captain America, nazi super soldier, head of Hydra."
Who is Johann Schmidt?,"Johann Schmidt is a antagonist of Captain America, nazi super soldier, head of Hydra."
"In the movie Captain America First Avenger, who is Winter Soldier?","In the movie Captain America First Avenger, Winter Soldier is a World War 2 veteran, super soldier."
Who is Winter Soldier?,"Winter Soldier is a World War 2 veteran, super soldier."
Who portrayed Winter Soldier?,Sebastian Stan portrayed Winter Soldier.
"In the movie Captain America First Avenger, who portrayed Winter Soldier?","In the movie Captain America First Avenger, Sebastian Stan portrayed Winter Soldier."
What is the formal name of Winter Soldier?,James Buchannan Barnes is the formal name of Winter Soldier.
"In the movie Captain America First Avenger, what is the formal name of Winter Soldier?","In the movie Captain America First Avenger, James Buchannan Barnes is the formal name of Winter Soldier."
"In the movie Captain America First Avenger, what are the aliases of Winter Soldier?","In the movie Captain America First Avenger, Winter Soldier, White Wolf are the aliases of Winter Soldier."
What are the aliases of Winter Soldier?,"Winter Soldier, White Wolf are the aliases of Winter Soldier."
"In the movie Captain America First Avenger, who is James Buchannan Barnes?","In the movie Captain America First Avenger, James Buchannan Barnes is a World War 2 veteran, super soldier."
Who is James Buchannan Barnes?,"James Buchannan Barnes is a World War 2 veteran, super soldier."
"In the movie Captain America First Avenger, who is White Wolf?","In the movie Captain America First Avenger, White Wolf is a World War 2 veteran, super soldier."
Who is White Wolf?,"White Wolf is a World War 2 veteran, super soldier."
Who portrayed White Wolf?,Sebastian Stan portrayed White Wolf.
"In the movie Captain America First Avenger, who portrayed White Wolf?","In the movie Captain America First Avenger, Sebastian Stan portrayed White Wolf."
What is the formal name of White Wolf?,James Buchannan Barnes is the formal name of White Wolf.
"In the movie Captain America First Avenger, what is the formal name of White Wolf?","In the movie Captain America First Avenger, James Buchannan Barnes is the formal name of White Wolf."
"In the movie Captain America First Avenger, what are the aliases of White Wolf?","In the movie Captain America First Avenger, Winter Soldier, White Wolf are the aliases of White Wolf."
What are the aliases of White Wolf?,"Winter Soldier, White Wolf are the aliases of White Wolf."
"In the movie Captain America First Avenger, who is James Buchannan Barnes?","In the movie Captain America First Avenger, James Buchannan Barnes is a World War 2 veteran, super soldier."
Who is James Buchannan Barnes?,"James Buchannan Barnes is a World War 2 veteran, super soldier."
"In the movie Captain America First Avenger, who is Bucky?","In the movie Captain America First Avenger, Bucky is a World War 2 veteran, super soldier."
Who is Bucky?,"Bucky is a World War 2 veteran, super soldier."
Who portrayed Bucky?,Sebastian Stan portrayed Bucky.
"In the movie Captain America First Avenger, who portrayed Bucky?","In the movie Captain America First Avenger, Sebastian Stan portrayed Bucky."
What is the formal name of Bucky?,James Buchannan Barnes is the formal name of Bucky.
"In the movie Captain America First Avenger, what is the formal name of Bucky?","In the movie Captain America First Avenger, James Buchannan Barnes is the formal name of Bucky."
"In the movie Captain America First Avenger, what are the aliases of Bucky?","In the movie Captain America First Avenger, Winter Soldier, White Wolf are the aliases of Bucky."
What are the aliases of Bucky?,"Winter Soldier, White Wolf are the aliases of Bucky."
"In the movie Captain America First Avenger, who is James Buchannan Barnes?","In the movie Captain America First Avenger, James Buchannan Barnes is a World War 2 veteran, super soldier."
Who is James Buchannan Barnes?,"James Buchannan Barnes is a World War 2 veteran, super soldier."
"In the movie Captain America First Avenger, who is Erskine?","In the movie Captain America First Avenger, Erskine is a Doctor."
Who is Erskine?,Erskine is a Doctor.
Who portrayed Erskine?,Stanley Tucci portrayed Erskine.
"In the movie Captain America First Avenger, who portrayed Erskine?","In the movie Captain America First Avenger, Stanley Tucci portrayed Erskine."
What is the formal name of Erskine?,Abraham Erskine is the formal name of Erskine.
"In the movie Captain America First Avenger, what is the formal name of Erskine?","In the movie Captain America First Avenger, Abraham Erskine is the formal name of Erskine."
"In the movie Captain America First Avenger, who is Abraham Erskine?","In the movie Captain America First Avenger, Abraham Erskine is a Doctor."
Who is Abraham Erskine?,Abraham Erskine is a Doctor.
"In the movie Captain America First Avenger, who is Zola?","In the movie Captain America First Avenger, Zola is a associate of Schmidt, a Hydra agent."
Who is Zola?,"Zola is a associate of Schmidt, a Hydra agent."
Who portrayed Zola?,Toby Jones portrayed Zola.
"In the movie Captain America First Avenger, who portrayed Zola?","In the movie Captain America First Avenger, Toby Jones portrayed Zola."
What is the formal name of Zola?,Arnim Zola is the formal name of Zola.
"In the movie Captain America First Avenger, what is the formal name of Zola?","In the movie Captain America First Avenger, Arnim Zola is the formal name of Zola."
"In the movie Captain America First Avenger, who is Arnim Zola?","In the movie Captain America First Avenger, Arnim Zola is a associate of Schmidt, a Hydra agent."
Who is Arnim Zola?,"Arnim Zola is a associate of Schmidt, a Hydra agent."
"In the movie Captain America First Avenger, who is Agent Carter?","In the movie Captain America First Avenger, Agent Carter is a nan."
Who is Agent Carter?,Agent Carter is a nan.
Who portrayed Agent Carter?,Hayley Atwell portrayed Agent Carter.
"In the movie Captain America First Avenger, who portrayed Agent Carter?","In the movie Captain America First Avenger, Hayley Atwell portrayed Agent Carter."
What is the formal name of Agent Carter?,Margaret Carter is the formal name of Agent Carter.
"In the movie Captain America First Avenger, what is the formal name of Agent Carter?","In the movie Captain America First Avenger, Margaret Carter is the formal name of Agent Carter."
"In the movie Captain America First Avenger, what are the aliases of Agent Carter?","In the movie Captain America First Avenger, Agent Carter, Peggy Carter are the aliases of Agent Carter."
What are the aliases of Agent Carter?,"Agent Carter, Peggy Carter are the aliases of Agent Carter."
"In the movie Captain America First Avenger, who is Margaret Carter?","In the movie Captain America First Avenger, Margaret Carter is a nan."
Who is Margaret Carter?,Margaret Carter is a nan.
"In the movie Captain America First Avenger, who is Peggy Carter?","In the movie Captain America First Avenger, Peggy Carter is a nan."
Who is Peggy Carter?,Peggy Carter is a nan.
Who portrayed Peggy Carter?,Hayley Atwell portrayed Peggy Carter.
"In the movie Captain America First Avenger, who portrayed Peggy Carter?","In the movie Captain America First Avenger, Hayley Atwell portrayed Peggy Carter."
What is the formal name of Peggy Carter?,Margaret Carter is the formal name of Peggy Carter.
"In the movie Captain America First Avenger, what is the formal name of Peggy Carter?","In the movie Captain America First Avenger, Margaret Carter is the formal name of Peggy Carter."
"In the movie Captain America First Avenger, what are the aliases of Peggy Carter?","In the movie Captain America First Avenger, Agent Carter, Peggy Carter are the aliases of Peggy Carter."
What are the aliases of Peggy Carter?,"Agent Carter, Peggy Carter are the aliases of Peggy Carter."
"In the movie Captain America First Avenger, who is Margaret Carter?","In the movie Captain America First Avenger, Margaret Carter is a nan."
Who is Margaret Carter?,Margaret Carter is a nan.
"In the movie Captain America First Avenger, who is Peggy?","In the movie Captain America First Avenger, Peggy is a nan."
Who is Peggy?,Peggy is a nan.
Who portrayed Peggy?,Hayley Atwell portrayed Peggy.
"In the movie Captain America First Avenger, who portrayed Peggy?","In the movie Captain America First Avenger, Hayley Atwell portrayed Peggy."
What is the formal name of Peggy?,Margaret Carter is the formal name of Peggy.
"In the movie Captain America First Avenger, what is the formal name of Peggy?","In the movie Captain America First Avenger, Margaret Carter is the formal name of Peggy."
"In the movie Captain America First Avenger, what are the aliases of Peggy?","In the movie Captain America First Avenger, Agent Carter, Peggy Carter are the aliases of Peggy."
What are the aliases of Peggy?,"Agent Carter, Peggy Carter are the aliases of Peggy."
"In the movie Captain America First Avenger, who is Margaret Carter?","In the movie Captain America First Avenger, Margaret Carter is a nan."
Who is Margaret Carter?,Margaret Carter is a nan.
"In the movie Captain America First Avenger, who is Colonel?","In the movie Captain America First Avenger, Colonel is a Colonel."
Who is Colonel?,Colonel is a Colonel.
Who portrayed Colonel?,Tommy Lee Jones portrayed Colonel.
"In the movie Captain America First Avenger, who portrayed Colonel?","In the movie Captain America First Avenger, Tommy Lee Jones portrayed Colonel."
What is the formal name of Colonel?,Colonel Chester Phillips is the formal name of Colonel.
"In the movie Captain America First Avenger, what is the formal name of Colonel?","In the movie Captain America First Avenger, Colonel Chester Phillips is the formal name of Colonel."
"In the movie Captain America First Avenger, what is the alias of Colonel?","In the movie Captain America First Avenger, Colonel is the alias of Colonel."
What is the alias of Colonel?,Colonel is the alias of Colonel.
"In the movie Captain America First Avenger, who is Colonel Chester Phillips?","In the movie Captain America First Avenger, Colonel Chester Phillips is a Colonel."
Who is Colonel Chester Phillips?,Colonel Chester Phillips is a Colonel.
"In the movie Captain America First Avenger, who is Phillips?","In the movie Captain America First Avenger, Phillips is a Colonel."
Who is Phillips?,Phillips is a Colonel.
Who portrayed Phillips?,Tommy Lee Jones portrayed Phillips.
"In the movie Captain America First Avenger, who portrayed Phillips?","In the movie Captain America First Avenger, Tommy Lee Jones portrayed Phillips."
What is the formal name of Phillips?,Colonel Chester Phillips is the formal name of Phillips.
"In the movie Captain America First Avenger, what is the formal name of Phillips?","In the movie Captain America First Avenger, Colonel Chester Phillips is the formal name of Phillips."
"In the movie Captain America First Avenger, what is the alias of Phillips?","In the movie Captain America First Avenger, Colonel is the alias of Phillips."
What is the alias of Phillips?,Colonel is the alias of Phillips.
"In the movie Captain America First Avenger, who is Colonel Chester Phillips?","In the movie Captain America First Avenger, Colonel Chester Phillips is a Colonel."
Who is Colonel Chester Phillips?,Colonel Chester Phillips is a Colonel.
"In the movie Captain America First Avenger, who is Duffy?","In the movie Captain America First Avenger, Duffy is a nan."
Who is Duffy?,Duffy is a nan.
Who portrayed Duffy?,Damon Driver portrayed Duffy.
"In the movie Captain America First Avenger, who portrayed Duffy?","In the movie Captain America First Avenger, Damon Driver portrayed Duffy."
What is the formal name of Duffy?,Sergeant Duffy is the formal name of Duffy.
"In the movie Captain America First Avenger, what is the formal name of Duffy?","In the movie Captain America First Avenger, Sergeant Duffy is the formal name of Duffy."
"In the movie Captain America First Avenger, who is Sergeant Duffy?","In the movie Captain America First Avenger, Sergeant Duffy is a nan."
Who is Sergeant Duffy?,Sergeant Duffy is a nan.
"In the movie Captain America First Avenger, who is Heinz Kruger?","In the movie Captain America First Avenger, Heinz Kruger is a Hydra Agent."
Who is Heinz Kruger?,Heinz Kruger is a Hydra Agent.
Who portrayed Heinz Kruger?,Richard Armitage portrayed Heinz Kruger.
"In the movie Captain America First Avenger, who portrayed Heinz Kruger?","In the movie Captain America First Avenger, Richard Armitage portrayed Heinz Kruger."
What is the formal name of Heinz Kruger?,Fred Clemson is the formal name of Heinz Kruger.
"In the movie Captain America First Avenger, what is the formal name of Heinz Kruger?","In the movie Captain America First Avenger, Fred Clemson is the formal name of Heinz Kruger."
"In the movie Captain America First Avenger, what is the alias of Heinz Kruger?","In the movie Captain America First Avenger, Heinz Kruger is the alias of Heinz Kruger."
What is the alias of Heinz Kruger?,Heinz Kruger is the alias of Heinz Kruger.
"In the movie Captain America First Avenger, who is Fred Clemson?","In the movie Captain America First Avenger, Fred Clemson is a Hydra Agent."
Who is Fred Clemson?,Fred Clemson is a Hydra Agent.
"In the movie Captain America First Avenger, who is Clemson?","In the movie Captain America First Avenger, Clemson is a Hydra Agent."
Who is Clemson?,Clemson is a Hydra Agent.
Who portrayed Clemson?,Richard Armitage portrayed Clemson.
"In the movie Captain America First Avenger, who portrayed Clemson?","In the movie Captain America First Avenger, Richard Armitage portrayed Clemson."
What is the formal name of Clemson?,Fred Clemson is the formal name of Clemson.
"In the movie Captain America First Avenger, what is the formal name of Clemson?","In the movie Captain America First Avenger, Fred Clemson is the formal name of Clemson."
"In the movie Captain America First Avenger, what is the alias of Clemson?","In the movie Captain America First Avenger, Heinz Kruger is the alias of Clemson."
What is the alias of Clemson?,Heinz Kruger is the alias of Clemson.
"In the movie Captain America First Avenger, who is Fred Clemson?","In the movie Captain America First Avenger, Fred Clemson is a Hydra Agent."
Who is Fred Clemson?,Fred Clemson is a Hydra Agent.
"In the movie Captain America First Avenger, who is Mr. Stark?","In the movie Captain America First Avenger, Mr. Stark is a Father of Tony Stark, inventor."
Who is Mr. Stark?,"Mr. Stark is a Father of Tony Stark, inventor."
Who portrayed Mr. Stark?,Dominic Cooper portrayed Mr. Stark.
"In the movie Captain America First Avenger, who portrayed Mr. Stark?","In the movie Captain America First Avenger, Dominic Cooper portrayed Mr. Stark."
What is the formal name of Mr. Stark?,Howard Stark is the formal name of Mr. Stark.
"In the movie Captain America First Avenger, what is the formal name of Mr. Stark?","In the movie Captain America First Avenger, Howard Stark is the formal name of Mr. Stark."
"In the movie Captain America First Avenger, what are the aliases of Mr. Stark?","In the movie Captain America First Avenger, Mr. Stark, Howard are the aliases of Mr. Stark."
What are the aliases of Mr. Stark?,"Mr. Stark, Howard are the aliases of Mr. Stark."
"In the movie Captain America First Avenger, who is Howard Stark?","In the movie Captain America First Avenger, Howard Stark is a Father of Tony Stark, inventor."
Who is Howard Stark?,"Howard Stark is a Father of Tony Stark, inventor."
"In the movie Captain America First Avenger, who is Howard?","In the movie Captain America First Avenger, Howard is a Father of Tony Stark, inventor."
Who is Howard?,"Howard is a Father of Tony Stark, inventor."
Who portrayed Howard?,Dominic Cooper portrayed Howard.
"In the movie Captain America First Avenger, who portrayed Howard?","In the movie Captain America First Avenger, Dominic Cooper portrayed Howard."
What is the formal name of Howard?,Howard Stark is the formal name of Howard.
"In the movie Captain America First Avenger, what is the formal name of Howard?","In the movie Captain America First Avenger, Howard Stark is the formal name of Howard."
"In the movie Captain America First Avenger, what are the aliases of Howard?","In the movie Captain America First Avenger, Mr. Stark, Howard are the aliases of Howard."
What are the aliases of Howard?,"Mr. Stark, Howard are the aliases of Howard."
"In the movie Captain America First Avenger, who is Howard Stark?","In the movie Captain America First Avenger, Howard Stark is a Father of Tony Stark, inventor."
Who is Howard Stark?,"Howard Stark is a Father of Tony Stark, inventor."
"In the movie Captain America First Avenger, who is Stark?","In the movie Captain America First Avenger, Stark is a Father of Tony Stark, inventor."
Who is Stark?,"Stark is a Father of Tony Stark, inventor."
Who portrayed Stark?,Dominic Cooper portrayed Stark.
"In the movie Captain America First Avenger, who portrayed Stark?","In the movie Captain America First Avenger, Dominic Cooper portrayed Stark."
What is the formal name of Stark?,Howard Stark is the formal name of Stark.
"In the movie Captain America First Avenger, what is the formal name of Stark?","In the movie Captain America First Avenger, Howard Stark is the formal name of Stark."
"In the movie Captain America First Avenger, what are the aliases of Stark?","In the movie Captain America First Avenger, Mr. Stark, Howard are the aliases of Stark."
What are the aliases of Stark?,"Mr. Stark, Howard are the aliases of Stark."
"In the movie Captain America First Avenger, who is Howard Stark?","In the movie Captain America First Avenger, Howard Stark is a Father of Tony Stark, inventor."
Who is Howard Stark?,"Howard Stark is a Father of Tony Stark, inventor."
"In the movie Captain America First Avenger, who is Mr. Fury?","In the movie Captain America First Avenger, Mr. Fury is a Director of SHIELD."
Who is Mr. Fury?,Mr. Fury is a Director of SHIELD.
Who portrayed Mr. Fury?,Samuel L. Jackson portrayed Mr. Fury.
"In the movie Captain America First Avenger, who portrayed Mr. Fury?","In the movie Captain America First Avenger, Samuel L. Jackson portrayed Mr. Fury."
What is the formal name of Mr. Fury?,Nicholas Fury is the formal name of Mr. Fury.
"In the movie Captain America First Avenger, what is the formal name of Mr. Fury?","In the movie Captain America First Avenger, Nicholas Fury is the formal name of Mr. Fury."
"In the movie Captain America First Avenger, what is the alias of Mr. Fury?","In the movie Captain America First Avenger, Mr. Fury is the alias of Mr. Fury."
What is the alias of Mr. Fury?,Mr. Fury is the alias of Mr. Fury.
"In the movie Captain America First Avenger, who is Nicholas Fury?","In the movie Captain America First Avenger, Nicholas Fury is a Director of SHIELD."
Who is Nicholas Fury?,Nicholas Fury is a Director of SHIELD.
"In the movie Captain America First Avenger, who is Fury?","In the movie Captain America First Avenger, Fury is a Director of SHIELD."
Who is Fury?,Fury is a Director of SHIELD.
Who portrayed Fury?,Samuel L. Jackson portrayed Fury.
"In the movie Captain America First Avenger, who portrayed Fury?","In the movie Captain America First Avenger, Samuel L. Jackson portrayed Fury."
What is the formal name of Fury?,Nicholas Fury is the formal name of Fury.
"In the movie Captain America First Avenger, what is the formal name of Fury?","In the movie Captain America First Avenger, Nicholas Fury is the formal name of Fury."
"In the movie Captain America First Avenger, what is the alias of Fury?","In the movie Captain America First Avenger, Mr. Fury is the alias of Fury."
What is the alias of Fury?,Mr. Fury is the alias of Fury.
"In the movie Captain America First Avenger, who is Nicholas Fury?","In the movie Captain America First Avenger, Nicholas Fury is a Director of SHIELD."
Who is Nicholas Fury?,Nicholas Fury is a Director of SHIELD.
"In the movie Captain America First Avenger, where is the Arctic located?","In the movie Captain America First Avenger, Arctic is located in Captain America Flight Excavation."
where is the Arctic located?,Arctic is located in Captain America Flight Excavation.
"In the movie Captain America First Avenger, where is the Tonsberg located?","In the movie Captain America First Avenger, Tonsberg is located in Norway."
where is the Tonsberg located?,Tonsberg is located in Norway.
"In the movie Captain America First Avenger, where does the Enlistment happen?","In the movie Captain America First Avenger, Enlistment happens at New York."
where does the Enlistment happen?,Enlistment happens at New York.
"In the movie Captain America First Avenger, where is the Theater Alleyway located?","In the movie Captain America First Avenger, Theater Alleyway is located in New York."
where is the Theater Alleyway located?,Theater Alleyway is located in New York.
"In the movie Captain America First Avenger, where does the Stark Expo 1943 happen?","In the movie Captain America First Avenger, Stark Expo 1943 happens at New York."
where does the Stark Expo 1943 happen?,Stark Expo 1943 happens at New York.
"In the movie Captain America First Avenger, where is the Camp Lehigh located?","In the movie Captain America First Avenger, Camp Lehigh is located in New York."
where is the Camp Lehigh located?,Camp Lehigh is located in New York.
"In the movie Captain America First Avenger, where does the Super Soldier Experiment happen?","In the movie Captain America First Avenger, Super Soldier Experiment happens at Brooklyn Antiques, New York."
where does the Super Soldier Experiment happen?,"Super Soldier Experiment happens at Brooklyn Antiques, New York."
"In the movie Captain America First Avenger, where does the Bond Sales Campaign happen?","In the movie Captain America First Avenger, Bond Sales Campaign happens at Buffalo, Milwaukee, Philadelphia, Chicago and New York City."
where does the Bond Sales Campaign happen?,"Bond Sales Campaign happens at Buffalo, Milwaukee, Philadelphia, Chicago and New York City."
"In the movie Captain America First Avenger, where does the Valkyrie Plane Fight happen?","In the movie Captain America First Avenger, Valkyrie Plane Fight happens at Somewhere in the northern Atlantic."
where does the Valkyrie Plane Fight happen?,Valkyrie Plane Fight happens at Somewhere in the northern Atlantic.
"In the movie Captain America First Avenger, where is the Steve Recovery Room located?","In the movie Captain America First Avenger, Steve Recovery Room is located in New York."
where is the Steve Recovery Room located?,Steve Recovery Room is located in New York.
"In the movie Captain America First Avenger, in the Arctic scene, what did SHIELD Tech say to Search Team Leader about excavation?",It’s probably a weather balloon.
"In the Arctic scene, what did SHIELD Tech say to Search Team Leader about excavation?",It’s probably a weather balloon.
"In the movie Captain America First Avenger, in the Arctic scene, what did SHIELD Tech say to Base about Captain America?",I don’t care what time it is. This one’s waited long enough.
"In the Arctic scene, what did SHIELD Tech say to Base about Captain America?",I don’t care what time it is. This one’s waited long enough.
"In the movie Captain America First Avenger, in the Arctic scene, what did Base say to SHIELD Tech about his request to connect to Colonel?","It’s 3 a.m., sir."
"In the Arctic scene, what did Base say to SHIELD Tech about his request to connect to Colonel?","It’s 3 a.m., sir."
"In the movie Captain America First Avenger, in the Tonsberg scene, what did Red Skull say to Tower Keeper about Tesseract?",Tesseract was the jewel of Odin’s treasure room. It’s not something one buries.
"In the Tonsberg scene, what did Red Skull say to Tower Keeper about Tesseract?",Tesseract was the jewel of Odin’s treasure room. It’s not something one buries.
"In the movie Captain America First Avenger, in the Tonsberg scene, what did Schmidt say to Tower Keeper about Tesseract?",Tesseract was the jewel of Odin’s treasure room. It’s not something one buries.
"In the Tonsberg scene, what did Schmidt say to Tower Keeper about Tesseract?",Tesseract was the jewel of Odin’s treasure room. It’s not something one buries.
"In the movie Captain America First Avenger, in the Tonsberg scene, what did Johann Schmidt say to Tower Keeper about Tesseract?",Tesseract was the jewel of Odin’s treasure room. It’s not something one buries.
"In the Tonsberg scene, what did Johann Schmidt say to Tower Keeper about Tesseract?",Tesseract was the jewel of Odin’s treasure room. It’s not something one buries.
"In the movie Captain America First Avenger, in the Tonsberg scene, what did Red Skull say to Tower Keeper about Yggdrasil?","Yggdrasil. Tree of the world. Guardian of wisdom and fate, also."
"In the Tonsberg scene, what did Red Skull say to Tower Keeper about Yggdrasil?","Yggdrasil. Tree of the world. Guardian of wisdom and fate, also."
"In the movie Captain America First Avenger, in the Tonsberg scene, what did Schmidt say to Tower Keeper about Yggdrasil?","Yggdrasil. Tree of the world. Guardian of wisdom and fate, also."
"In the Tonsberg scene, what did Schmidt say to Tower Keeper about Yggdrasil?","Yggdrasil. Tree of the world. Guardian of wisdom and fate, also."
"In the movie Captain America First Avenger, in the Tonsberg scene, what did Johann Schmidt say to Tower Keeper about Yggdrasil?","Yggdrasil. Tree of the world. Guardian of wisdom and fate, also."
"In the Tonsberg scene, what did Johann Schmidt say to Tower Keeper about Yggdrasil?","Yggdrasil. Tree of the world. Guardian of wisdom and fate, also."
"In the movie Captain America First Avenger, in the Enlistment scene, what did Captain America say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the Enlistment scene, what did Captain America say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the movie Captain America First Avenger, in the Enlistment scene, what did Steve say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the Enlistment scene, what did Steve say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the movie Captain America First Avenger, in the Enlistment scene, what did Rogers say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the Enlistment scene, what did Rogers say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the movie Captain America First Avenger, in the Enlistment scene, what did Steve say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the Enlistment scene, what did Steve say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the movie Captain America First Avenger, in the Enlistment scene, what did Steven Rogers say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the Enlistment scene, what did Steven Rogers say to 4F Doctor about the cause of his father's death?",Mustard gas. He was in the hundred and seventh infantry.
"In the movie Captain America First Avenger, in the Enlistment scene, what did Captain America say to 4F Doctor about the cause of his mother's death?","She was a nurse in a TB ward. Got hit, couldn’t shake it"
